ua_no,ua,country,Full Address,Latitude,Longitude
1,Greater Mumbai ,", India","Greater Mumbai  , India ",18.9403642,72.834503
2,Delhi  ,", India","Delhi   , India ",28.7040592,77.1024902
3,Kolkata ,", India","Kolkata  , India ",22.572646,88.363895
4,Chennai  $,", India","Chennai  $ , India ",13.0826802,80.2707184
5,Bruhat Bangalore ,", India","Bruhat Bangalore  , India ",12.9436052,77.5550292
6,Hyderabad   @,", India","Hyderabad   @ , India ",17.385044,78.486671
7,Ahmadabad ,", India","Ahmadabad  , India ",23.022505,72.5713621
8,Pune ,", India","Pune  , India ",18.5204303,73.8567437
9,Surat ,", India","Surat  , India ",21.1702401,72.8310607
10,Jaipur *,", India","Jaipur * , India ",26.9124336,75.7872709
11,Kanpur ,", India","Kanpur  , India ",26.449923,80.3318736
12,Lucknow ,", India","Lucknow  , India ",26.8466937,80.946166
13,Nagpur ,", India","Nagpur  , India ",21.1458004,79.0881546
14,Ghaziabad ,", India","Ghaziabad  , India ",28.6691565,77.4537578
15,Indore ,", India","Indore  , India ",22.7195687,75.8577258
16,Coimbatore  $,", India","Coimbatore  $ , India ",11.0168445,76.9558321
17,Kochi ,", India","Kochi  , India ",9.9312328,76.2673041
18,Patna ,", India","Patna  , India ",25.5940947,85.1375645
19,Kozhikode ,", India","Kozhikode  , India ",11.2587531,75.78041
20,Bhopal ,", India","Bhopal  , India ",23.2599333,77.412615
21,Thrissur ,", India","Thrissur  , India ",10.5276416,76.2144349
22,Vadodara ,", India","Vadodara  , India ",22.3071588,73.1812187
23,Agra ,", India","Agra  , India ",27.1766701,78.0080745
24,Visakhapatnam @,", India","Visakhapatnam @ , India ",17.6868159,83.2184815
25,Malappuram ,", India","Malappuram  , India ",11.0509762,76.0710967
26,Thiruvananthapuram ,", India","Thiruvananthapuram  , India ",8.5241391,76.9366376
27,Kannur ,", India","Kannur  , India ",11.8744775,75.3703662
28,Ludhiana,", India","Ludhiana , India ",30.900965,75.8572758
29,Nashik ,", India","Nashik  , India ",19.9974533,73.7898023
30,Vijayawada @,", India","Vijayawada @ , India ",16.5061743,80.6480153
31,Madurai  $,", India","Madurai  $ , India ",9.9252007,78.1197754
32,Varanasi ,", India","Varanasi  , India ",25.3176452,82.9739144
33,Meerut ,", India","Meerut  , India ",28.9844618,77.7064137
34,Faridabad,", India","Faridabad , India ",28.4089123,77.3177894
35,Rajkot ,", India","Rajkot  , India ",22.3038945,70.8021599
36,Jamshedpur ,", India","Jamshedpur  , India ",22.8045665,86.2028754
37,Jabalpur ,", India","Jabalpur  , India ",23.181467,79.9864071
38,Srinagar ,", India","Srinagar  , India ",34.0836708,74.7972825
39,Asansol !,", India","Asansol ! , India ",23.6888636,86.9660638
40,Vasai-Virar City [9],", India","Vasai-Virar City [9] , India ",19.3919275,72.8397317
41,Allahabad ,", India","Allahabad  , India ",25.4358011,81.846311
42,Dhanbad ,", India","Dhanbad  , India ",23.7956531,86.4303859
43,Aurangabad ,", India","Aurangabad  , India ",19.8761653,75.3433139
44,Amritsar ,", India","Amritsar  , India ",31.6339793,74.8722642
45,Jodhpur ,", India","Jodhpur  , India ",26.2389469,73.0243094
46,Ranchi ,", India","Ranchi  , India ",23.3440997,85.309562
47,Raipur ,", India","Raipur  , India ",21.2513844,81.6296413
48,Kollam ,", India","Kollam  , India ",8.8932118,76.6141396
49,Gwalior ,", India","Gwalior  , India ",26.2182871,78.1828308
50,Durg-Bhilainagar ,", India","Durg-Bhilainagar  , India ",21.1904494,81.2849169
51,Tiruchirappalli  $,", India","Tiruchirappalli  $ , India ",10.7904833,78.7046725
52,Kota*,", India","Kota* , India ",25.2138156,75.8647527
53,Mysore U. A.,", India","Mysore U. A. , India ",12.2958104,76.6393805
54,Bareilly ,", India","Bareilly  , India ",28.3670355,79.4304381
55,Chandigarh  ,", India","Chandigarh   , India ",30.7333148,76.7794179
56,Tiruppur  $,", India","Tiruppur  $ , India ",11.1085242,77.3410656
57,Guwahati ,", India","Guwahati  , India ",26.1445169,91.7362365
58,Solapur [11],", India","Solapur [11] , India ",17.6599188,75.9063906
59,Hubli-Dharwad,", India","Hubli-Dharwad , India ",15.3647083,75.1239547
60,Salem  $,", India","Salem  $ , India ",11.664325,78.1460142
61,Aligarh ,", India","Aligarh  , India ",27.8973944,78.0880129
62,Gurgaon ,", India","Gurgaon  , India ",28.4594965,77.0266383
63,Moradabad $! Xy,", India","Moradabad $! Xy , India ",28.8225028,78.7790583
64,Bhubaneswar  ,", India","Bhubaneswar   , India ",20.2960587,85.8245398
65,Jalandhar ,", India","Jalandhar  , India ",31.3260152,75.5761829
66,Warangal ,", India","Warangal  , India ",17.9689008,79.5940544
67,Bhiwandi ,", India","Bhiwandi  , India ",19.2812547,73.0482912
68,Dehradun  $,", India","Dehradun  $ , India ",30.3164945,78.0321918
69,Siliguri ,", India","Siliguri  , India ",26.7271012,88.3952861
70,Saharanpur,", India","Saharanpur , India ",29.9680035,77.5552066
71,Gorakhpur ,", India","Gorakhpur  , India ",26.7605545,83.3731675
72,Guntur ,", India","Guntur  , India ",16.3066525,80.4365402
73,Cuttack ,", India","Cuttack  , India ",20.462521,85.8829895
74,Jammu   ,", India","Jammu    , India ",32.7266016,74.8570259
75,Puducherry  ,", India","Puducherry   , India ",11.9415915,79.8083133
76,Amravati [13],", India","Amravati [13] , India ",20.9319821,77.7523039
77,Bikaner **,", India","Bikaner ** , India ",28.0229348,73.3119159
78,Noida,", India","Noida , India ",28.5355161,77.3910265
79,Mangalore ,", India","Mangalore  , India ",12.9141417,74.8559568
80,Belgaum ,", India","Belgaum  , India ",15.8496953,74.4976741
81,Bhavnagar ,", India","Bhavnagar  , India ",21.7644725,72.1519304
82,Firozabad  &,", India","Firozabad  & , India ",27.1591961,78.3957331
83,Jamnagar ,", India","Jamnagar  , India ",22.4707019,70.05773
84,Durgapur ,", India","Durgapur  , India ",23.5204443,87.3119227
85,Malegaon ,", India","Malegaon  , India ",20.5579034,74.5089457
86,Bokaro Steel City ,", India","Bokaro Steel City  , India ",23.6692956,86.151112
87,Kolhapur ,", India","Kolhapur  , India ",16.7049873,74.2432527
88,Nellore ,", India","Nellore  , India ",14.4425987,79.986456
89,Raurkela   ,", India","Raurkela    , India ",22.260423,84.8535844
90,Ajmer ,", India","Ajmer  , India ",26.4498954,74.6399163
91,Nanded-Waghala [14],", India","Nanded-Waghala [14] , India ",19.1383,77.321
92,Jhansi ,", India","Jhansi  , India ",25.4484257,78.5684594
93,Gulbarga U. A.,", India","Gulbarga U. A. , India ",17.3103594,76.8729891
94,Erode  $,", India","Erode  $ , India ",11.3410364,77.7171642
95,Ujjain 22,", India","Ujjain 22 , India ",23.1764665,75.7885163
96,Sangli ,", India","Sangli  , India ",16.8523973,74.5814773
97,Tirunelveli ,", India","Tirunelveli  , India ",8.7139126,77.7566523
98,Muzaffarnagar ,", India","Muzaffarnagar  , India ",29.4726817,77.7085091
99,Vellore ,", India","Vellore  , India ",12.9165167,79.1324986
100,Kurnool  ,", India","Kurnool   , India ",15.8281257,78.0372792
101,Rajahmundry ,", India","Rajahmundry  , India ",17.0005383,81.8040345
102,Gaya ,", India","Gaya  , India ",24.7913957,85.0002336
103,Udaipur ,", India","Udaipur  , India ",24.585445,73.712479
104,Tirupati  ,", India","Tirupati   , India ",13.6287557,79.4191795
105,Jalgaon,", India","Jalgaon , India ",21.0076578,75.5626039
106,Mathura ,", India","Mathura  , India ",27.4924134,77.673673
107,Cherthala ,", India","Cherthala  , India ",9.6741363,76.3400963
108,Bilaspur ,", India","Bilaspur  , India ",22.0796545,82.1409152
109,Patiala ,", India","Patiala  , India ",30.3397809,76.3868797
110,Panipat ,", India","Panipat  , India ",29.3909464,76.9635023
111,Kakinada ,", India","Kakinada  , India ",16.9890648,82.2474648
112,Davanagere,", India","Davanagere , India ",14.4644085,75.921758
113,Kayamkulam ,", India","Kayamkulam  , India ",9.1748422,76.5013352
114,Akola,", India","Akola , India ",20.7002159,77.0081678
115,Imphal ,", India","Imphal  , India ",24.8170111,93.9368439
116,Bhagalpur ,", India","Bhagalpur  , India ",25.3478004,86.9824288
117,Thoothukkudi ,", India","Thoothukkudi  , India ",8.7641661,78.1348361
118,Bellary,", India","Bellary , India ",15.1393932,76.9214428
119,Agartala #,", India","Agartala # , India ",23.831457,91.2867777
120,Muzaffarpur ,", India","Muzaffarpur  , India ",26.1196607,85.390982
121,Yamunanagar ,", India","Yamunanagar  , India ",30.1290485,77.2673901
122,Latur,", India","Latur , India ",18.4087934,76.5603828
123,Ahmadnagar ,", India","Ahmadnagar  , India ",19.0948287,74.7479789
124,Dhule,", India","Dhule , India ",20.9042201,74.7748979
125,Rohtak  #,", India","Rohtak  # , India ",28.8955152,76.606611
126,Sagar ,", India","Sagar  , India ",23.838805,78.7378068
127,Korba ,", India","Korba  , India ",22.3594501,82.7500595
128,Bhilwara *,", India","Bhilwara * , India ",25.3407388,74.6313183
129,Kottayam ,", India","Kottayam  , India ",9.5915668,76.5221531
130,Brahmapur,", India","Brahmapur , India ",19.3149618,84.7940911
131,Shillong ,", India","Shillong  , India ",25.5787726,91.8932535
132,Rampur ,", India","Rampur  , India ",28.798299,79.0220287
133,Shahjahanpur ,", India","Shahjahanpur  , India ",27.8753399,79.9147268
134,Barddhaman ,", India","Barddhaman  , India ",23.2324214,87.8614793
135,Kadapa ,", India","Kadapa  , India ",14.4673154,78.8242089
136,Alwar ,", India","Alwar  , India ",27.5529907,76.6345735
137,Anantapur ,", India","Anantapur  , India ",14.6818877,77.6005911
138,Bijapur,", India","Bijapur , India ",16.8301708,75.710031
139,Ichalkaranji ,", India","Ichalkaranji  , India ",16.688621,74.4593101
140,Shimoga,", India","Shimoga , India ",13.9299299,75.568101
