ua_no,ua,year,area,population,pop_change,pop_change_percent,pop_male,pop_female
1,Greater Mumbai U.A.,1961,539.8299999999999,4515495,1298591,40.37,2694748,1820747
1,Greater Mumbai U.A.,1971,559.99,6596370,2080875,46.08,3820973,2775397
1,Greater Mumbai U.A.,1981,588.5,9421962,2825592,42.84,5290416,4131546
1,Greater Mumbai U.A.,1991,1040.9,12596243,3174281,33.69,6891222,5705021
1,Greater Mumbai U.A.,2001,1135.11,16434386,3838143,30.47,9021789,7412597
1,Greater Mumbai U.A.,2011,1063.49,18394912,1960526,11.93,9872271,8522641
2,Delhi  U.A.,1961,326.54999999999995,2359408,922274,64.17453069790291,1327386,1032022
2,Delhi  U.A.,1971,446.26,3647023,1287615,54.57364728779422,2028091,1618932
2,Delhi  U.A.,1981,580.9499999999999,5760811,2113788,57.95927253543507,3186119,2574692
2,Delhi  U.A.,1991,685.34,8471625,2710814,47.06,4630456,3841169
2,Delhi  U.A.,2001,912.52,12895547,4423922,52.22,7079670,5815877
2,Delhi  U.A.,2011,1139.48,16349831,3454284,26.786641931513255,8750834,7598997
3,Kolkata U.A.,1961,610.5,6008656,1322787,28.229278283281072,3629405,2379251
3,Kolkata U.A.,1971,679.36,7447429,1438773,23.94500533896432,4369095,3078334
3,Kolkata U.A.,1981,870.35,9232103,1784674,23.96362556796446,5181471,4050632
3,Kolkata U.A.,1991,920.65,11110314,1878211,20.344346244837173,6067548,5042766
3,Kolkata U.A.,2001,1046.46,13251339,2141025,19.270607473380142,7086998,6164341
3,Kolkata U.A.,2011,1056.1293999999998,14057991,806652,6.087324458305686,7263384,6794607
4,Chennai U.A. $,1961,226.07,1944502,402169,26.075367641099557,1022115,922387
4,Chennai U.A. $,1971,490.5800000000001,3155944,1211442,62.300887322306686,1658344,1497600
4,Chennai U.A. $,1981,531.82,4273329,1117385,35.405729632718455,2214213,2059116
4,Chennai U.A. $,1991,580.0600000000001,5416903,1143574,26.760729164545953,2803085,2613818
4,Chennai U.A. $,2001,788.6900000000002,6686140,1269237,23.43104537777398,3419947,3266193
4,Chennai U.A. $,2011,932.4739999999998,8653521,1967381,29.424765260673574,4358612,4294909
5,Bruhat Bangalore U.A.,1961,501.2099999999999,1206961,420618,53.49039795610821,644047,562914
5,Bruhat Bangalore U.A.,1971,177.3,1664208,457247,37.88415698601696,887782,776426
5,Bruhat Bangalore U.A.,1981,365.65,2921751,1257543,75.56405208964264,1541397,1380354
5,Bruhat Bangalore U.A.,1991,449.69630000000006,4137314,1215563,41.6039217578774,2174728,1962586
5,Bruhat Bangalore U.A.,2001,539.85,5701446,1564132,37.80549409592794,2988561,2712885
5,Bruhat Bangalore U.A.,2011,748.42,8520435,2818989,49.44340435742092,4433855,4086580
6,Hyderabad U.A.  @,1961,NA,1254941,119183,10.493696720604213,650567,604374
6,Hyderabad U.A.  @,1971,NA,1815117,560176,44.63763635103164,946947,868170
6,Hyderabad U.A.  @,1981,NA,2607770,792653,43.67,1359181,1248589
6,Hyderabad U.A.  @,1991,NA,4344437,1736667,66.6,2251452,2092985
6,Hyderabad U.A.  @,2001,838.03,5756729,1412292,32.508055704340975,2981245,2775484
6,Hyderabad U.A.  @,2011,1225.59,7677018,1920289,33.35729369925178,3928408,3748610
7,Ahmadabad U.A.,1961,156.07,1265081,340517,36.83000852293621,700005,565076
7,Ahmadabad U.A.,1971,296.09,1871006,605925,47.89614261853588,1021470,849536
7,Ahmadabad U.A.,1981,336.03,2733952,862946,46.122032746020054,1461834,1272118
7,Ahmadabad U.A.,1991,425.17,3631233,897281,32.81992514864928,1921611,1709622
7,Ahmadabad U.A.,2001,613.81,4912912,1281679,35.29597246995718,2607201,2305711
7,Ahmadabad U.A.,2011,1060.9500000000003,6357693,1444781,29.407833887519256,3348869,3008824
8,Pune U.A.,1961,282.18,790798,182164,29.93,424439,366359
8,Pune U.A.,1971,324.52,1135034,344236,43.53,609920,525114
8,Pune U.A.,1981,357.39,1722186,587152,51.73,916129,806057
8,Pune U.A.,1991,423.42,2493987,771801,44.82,1310514,1183473
8,Pune U.A.,2001,675.66,3768612,1274625,51.11,1984906,1783706
8,Pune U.A.,2011,502.78,5057709,1289097,34.21,2656240,2401469
9,Surat U.A.,1961,24.01,317519,80125,33.75190611388662,165250,152269
9,Surat U.A.,1971,49.37,493001,175482,55.26661396640831,261736,231265
9,Surat U.A.,1981,92.58,930246,437245,88.69048947162379,505551,424695
9,Surat U.A.,1991,114.07,1514545,584299,62.81123487765602,823198,691347
9,Surat U.A.,2001,289.83,2820373,1305828,86.2191615303606,1602049,1218324
9,Surat U.A.,2011,431.01000000000005,4591246,1770873,62.78860987536046,2619373,1971873
10,Jaipur *,1961,104.4,410376,105996,34.823575793416126,221118,189258
10,Jaipur *,1971,258.57,636768,226392,55.16696882858647,342836,293932
10,Jaipur *,1981,210.09,1015160,378392,59.42384039398965,545462,469698
